#Age	d18O
#(yr BP)	(‰)
10733.2	-44.39
10744.1	-43.12
10755.1	-43.94
10766.2	-44.95
10776.5	-44.4
10787.3	-42.92
10798.5	-42.93
10809.5	-43.76
10820.5	-44.05
10831.8	-43.23
10843.2	-44.17
10854.7	-44.54
10865.9	-43.03
10876.7	-44.35
10887.4	-43.1
10898.0	-43.24
10908.9	-44.11
10920.3	-44.37
10932.2	-43.51
10944.0	-44.22
10955.9	-43.18
10968.0	-43.72
10980.3	-43.71
10992.3	-44.64
11003.7	-43.84
11014.9	-43.46
11025.8	-43.34
11037.4	-44.38
11049.5	-44.75
11061.5	-45.18
11073.3	-44.35
11084.5	-44.3
11095.5	-44.21
11107.1	-43.99
11118.6	-43.9
11130.9	-44.18
11143.0	-44.86
11155.0	-43.79
11167.3	-43.01
11177.7	-43.93
11189.0	-42.77
11200.3	-43.23
11211.5	-43.23
11222.5	-42.51
11233.0	-43.34
11244.2	-43.96
11256.0	-44.01
11267.9	-44.35
11279.4	-43.05
11290.6	-43.5
11301.7	-44.4
11312.7	-43.53
11324.0	-43.98
11335.2	-44.4
11345.9	-43.4
11357.0	-43.28
11368.4	-43.76
11380.0	-43.59
11391.7	-44.57
11403.4	-43.45
11415.3	-44.7
11426.9	-44.04
11438.5	-45.37
11450.0	-44.55
11461.3	-44.11
11472.6	-44.69
11484.2	-45.08
11496.1	-44.85
11508.1	-44.92
11518.9	-44.38
11528.8	-43.02
11539.2	-42.25
11550.4	-42.98
11561.6	-43.71
11572.5	-43.19
11583.0	-43.37
11593.1	-43.34
11603.2	-43.06
11613.7	-44.51
11624.5	-43.35
11635.4	-43.71
11646.4	-45.12
11657.6	-43.49
11668.2	-43.97
11678.3	-42.96
11688.2	-43.35
11698.0	-44.46
11707.8	-43.62
11717.5	-42.87
11727.3	-43.82
11737.4	-44.49
11747.9	-44.35
11758.5	-44.06
11769.2	-44.86
11779.8	-43.86
11790.5	-43.58
11801.1	-44.13
11811.8	-44.57
11822.4	-43.68
11833.0	-44.11
11844.2	-43.48
11855.6	-45.41
11866.5	-43.04
11876.9	-42.9
11887.2	-44.45
11897.2	-44.35
11908.8	-44.81
11920.5	-44.72
11931.6	-43.32
11942.1	-44.17
11953.1	-43.71
11964.2	-44.79
11974.8	-44.06
11986.1	-44.95
11997.3	-44.23
12008.3	-44.08
12019.3	-44.39
12030.4	-44.33
12041.8	-44.32
12053.2	-45.08
12064.7	-44.99
12076.2	-44.21
12087.8	-45.13
12099.2	-44.7
12110.6	-44.92
12122.0	-44.41
12133.5	-44.47
12144.9	-44.84
12156.2	-45.56
12167.3	-44.82
12178.2	-43.99
12189.2	-45.2
12200.8	-45.35
12213.1	-45.93
12225.4	-45.96
12237.0	-45.06
12247.9	-44.23
12258.8	-44.62
12269.2	-45.58
12281.2	-45.55
12293.3	-45.63
12305.0	-45.71
12316.4	-44.25
12327.8	-45.26
12340.9	-45.14
12352.8	-45.29
12364.8	-45
12377.0	-45.03
12389.5	-46.23
12402.1	-45.55
12414.9	-45.53
12427.8	-46.26
12441.1	-45.84
12453.8	-46.11
12466.2	-45.43
12478.8	-45.31
12491.6	-45.58
12504.8	-46.19
12517.5	-46.2
12530.1	-46.03
12542.8	-46.33
12556.3	-45.73
12569.1	-45.26
12581.6	-46.46
